captureArrivalUs,rifeStartUs,rifeEndUs,presentedUs,inferenceMs,dropped
18644635,18645807,18678000,18679230,32.194,0
18679639,18680353,18713146,18713707,32.793,0
18714030,18714429,18747913,18748754,33.484,0
18749111,18749503,18782551,18784652,33.047,0
18785200,18785740,18817921,18819107,32.181,0
18819464,18820391,18853286,18854487,32.895,0
18855045,18855627,18889154,18889672,33.527,0
18889946,18890191,18923421,18923810,33.230,0
18924034,18924250,18956738,18957154,32.488,0
18957402,18957620,18990428,18991268,32.808,0
18991701,18992141,19025318,19026398,33.177,0
19026756,19027408,19060450,19061989,33.042,0
19062649,19063746,19097154,19097521,33.408,0
19097804,19098053,19131067,19131507,33.014,0
19131835,19132077,19165087,19165761,33.010,0
19166129,19166496,19199510,19200492,33.014,0
19200949,19201455,19233460,19236082,32.005,0
19236085,19237239,19270552,19271899,33.313,0
19272597,19273230,19306647,19307510,33.417,0
19308018,19308440,19341251,19342765,32.812,0
19343737,19345092,19378315,19380111,33.223,0
19380855,19381387,19413752,19414771,32.365,0
19415415,19416169,19449458,19451386,33.289,0
19451955,19452988,19486506,19486894,33.518,0
19487174,19487480,19519993,19520794,32.513,0
19521258,19521664,19554053,19555014,32.389,0
19555376,19555892,19589022,19590689,33.130,0
19591028,19592397,19626149,19626580,33.752,0
19626890,19627347,19660535,19661310,33.188,0
19661568,19662172,19695009,19695484,32.837,0
19695782,19696048,19729107,19730068,33.059,0
19730554,19731157,19765509,19767327,34.352,0
19767821,19768538,19801034,19802733,32.496,0
19803402,19804276,19836595,19837917,32.319,0
19838610,19839266,19872139,19873219,32.873,0
19873580,19875400,19908933,19909897,33.533,0
19910350,19910975,19944721,19946329,33.746,0
19981445,0,0,19981476,0.000,0
19981445,19982050,20014175,20014720,32.124,0
20014958,20015235,20048617,20050771,33.382,0
20051448,20052883,20086903,20088169,34.020,0
20088211,20088811,20121813,20123205,33.002,0
20123305,20123902,20156327,20157287,32.425,0
20157961,20158664,20192081,20193077,33.417,0
20193707,20194369,20227756,20229210,33.388,0
20229275,20229998,20263188,20264637,33.190,0
20265516,20266585,20299308,20301283,32.722,0
20301651,20302418,20335493,20337105,33.075,0
20337533,20338240,20371997,20373038,33.758,0
20408920,0,0,20409402,0.000,0
20408920,20410303,20443602,20445306,33.299,0
20446339,20447037,20479202,20479582,32.165,0
20479842,20480239,20512590,20513376,32.351,0
20549123,0,0,20549299,0.000,0
20549123,20550178,20583781,20585349,33.603,0
20586001,20586833,20619530,20620424,32.697,0
20620786,20621272,20654465,20655649,33.192,0
20655987,20656493,20689518,20691685,33.025,0
20692444,20693420,20726998,20727731,33.578,0
20728061,20728448,20761398,20762206,32.950,0
20762582,20763093,20795665,20796881,32.571,0
20797821,20798829,20832588,20833585,33.759,0
20834035,20834486,20867516,20869478,33.030,0
20869968,20870386,20903520,20904156,33.134,0
20904587,20904960,20937449,20939802,32.489,0
20940358,20941455,20974895,20977277,33.440,0
20977826,20978294,21011117,21012241,32.823,0
21012480,21013078,21046755,21047853,33.676,0
21048809,21050146,21083506,21084216,33.360,0
